age,age_cats,married,gender,race,educ,par1_educ,par2_educ,partisan_7pt,curr_county,curr_dem_margin,curr_phi_80_96,curr_phi_00_16,curr_pop,curr_white_alone,curr_workers_outside_home,curr_bach_degree_higher,curr_median_income,curr_gini,curr_avg_commute,curr_city,hs_county,hs_dem_margin,hs_phi_80_96,hs_phi_00_16,hs_pop,hs_white_alone,hs_workers_outside_home,hs_bach_degree_higher,hs_median_income,hs_gini,hs_avg_commute,hs_city,tenure,county_7pt,city_7pt,city_income,vote_primary,vote_pres,vote_local,why_vote,vote_duty,vote_choice,protest,petition,campaign,money_pol,money_soc,contact_congress,contact_local,volunteer_org,volunteer_solo,volunteer_hrs,par_volunteer,par_pol,par_events,citizen_voting,citizen_volunteer,citizen_protest,fam_size,fam_partisan,fam_convo,school,school_sports,school_volunteer,school_political,club_volunteer,club_political,hs_voice,employ,work_hrs,work_convos,work_political,school_hrs,religion,social_trust,neighbor,interest,f2f_comfort,f2f_different,end_friend,best_interest,hate_speech,disruption,govt_trust,efficacy,govt_services,num_contacts,talk_pol,talk_pol_sim,pol_discuss,soc_media,sm_hrs,web_hrs,tv_hrs,sm_comfort,sm_different,post_similar,post_different,add_political,partisan_3pt
19,18-29,Single,Female,White,High school graduate,Post-grad,4-year,Extremely Conservative,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"bexar, tx",13.4,7.52,8.24,1825502,1418681,795541,305554,51150,0.463,24.52195424,San Antonio,15,Slightly Conservative,Slightly Conservative,Middle class,No,Yes,No,Mainly a choice,Not at all,A little strongly,No,No,No,No,No,No,No,Yes,No,One to Four,A few times a year,A little involved,Rarely,A moderate amount,A great deal,None at all,4,4,Often,Public school,Very important,Very important,Not too important,Very often,Rarely,Not very often,Student,9,3,0,25,A few times a year,Most of the time,Very comfortable,Some of the time,Not too comfortable,Not too comfortable,No,None at all,Yes,Disagree,Never,Disagree,Govt should provide many fewer services,3,1,1,Almost never,Yes,Zero to two,Zero to two,One to three,Not comfortable at all,Not comfortable at all,Not very often,Rarely,Rarely,Conservative
20,18-29,Single,Female,White,High school graduate,Post-grad,4-year,Slightly Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"st. louis, mo",16.3,13.52,12.9,1001327,697037,460588,285786,59755,0.4877,23.70453638,St. Louis,18,Conservative,Moderate,Poor,No,Yes,No,Mainly a choice,A little strongly,Moderately strongly,No,No,No,No,Yes,No,No,Yes,Yes,One to Four,A few times a year,Moderately involved,Rarely,A moderate amount,A great deal,A little,5,3,Not very often,Private religious school,Not too important,Very important,Not at all important,Very often,Rarely,Not very often,Student,8,3,0,5,Once or twice a month,Some of the time,Very comfortable,About half the time,Somewhat comfortable,Not too comfortable,No,A great deal,Don't know,Strongly disagree,About half the time,Agree,Govt provides the right amount of services,5,3,2,Occasionally,Yes,Zero to two,Zero to two,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
57,45-59,Married,Male,White,4-year,Post-grad,Some college,Conservative,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Cary,"fairfax, va",,,,,,,,,,,Springfield,20,Slightly Liberal,Slightly Liberal,Affluent,Yes,Yes,Yes,Mainly a choice,Very strongly,Very strongly,No,Yes,No,Yes,Yes,No,No,No,Yes,One to Four,Never,Not at all,Rarely,A moderate amount,A moderate amount,None at all,3,3,Often,Public school,Very important,Somewhat important,Not at all important,Not very often,Rarely,Not very often,Full-time,50,8,5,,Once or twice a month,About half the time,Very comfortable,Always,Very comfortable,Very comfortable,No,A little,Yes,Strongly disagree,Some of the time,Disagree,Govt should provide many fewer services,5,5,5,Occasionally,No,Zero to two,Zero to two,One to three,Not comfortable at all,Not comfortable at all,Very often,Rarely,Rarely,Conservative
32,30-44,Single,Female,White,4-year,4-year,4-year,Slightly Conservative,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Cary,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Cary,22,Slightly Liberal,Slightly Conservative,Affluent,No,Yes,No,Mainly a duty,Very strongly,A little strongly,No,No,No,No,No,No,No,No,No,Zero,A few times a year,Not at all,Rarely,A moderate amount,A great deal,A little,3,3,Often,Public school,Very important,Somewhat important,Not too important,Rarely,Not very often,Not very often,Full-time,45,15,3,,Never,Most of the time,Very comfortable,About half the time,Very comfortable,Somewhat comfortable,No,A moderate amount,Yes,Agree,Some of the time,Agree,Govt provides the right amount of services,5,5,5,Occasionally,Yes,Four to six,Zero to two,Less than 1 hour,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
46,45-59,Divorced,Male,Asian,Post-grad,4-year,No HS,Conservative,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Durham,"dallas, tx",26.2,15.5,13.18,2485003,1490124,1124614,456846,50270,0.5017,26.4988565,Dallas,5,Liberal,Slightly Liberal,Middle class,Yes,No,Yes,Mainly a choice,Not at all,Moderately strongly,No,No,Yes,Yes,No,No,No,Yes,Yes,More than ten,Never,Not at all,Rarely,A little,A moderate amount,A little,5,2,Rarely,Public school,Somewhat important,Somewhat important,Not too important,Often,Not very often,Often,Full-time,45,8,1,,Never,Most of the time,Not too comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A moderate amount,No,Disagree,Some of the time,Agree,Govt should provide fewer services,3,3,3,Occasionally,Yes,Two to four,Two to four,More than three hours,Not too comfortable,Not too comfortable,Rarely,Rarely,Rarely,Conservative
46,45-59,Divorced,Female,Asian,Post-grad,Post-grad,Post-grad,Slightly Conservative,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Cary,"travis, tx",38.7,10.44,22.2,1121645,851830,545825,341173,61451,0.4929,24.80493748,Austin,3,Liberal,Moderate,Affluent,No,No,No,Mainly a choice,Not at all,Moderately strongly,No,No,No,No,No,No,No,Yes,No,One to Four,Never,Not at all,Rarely,None at all,A little,None at all,4,2,Not very often,Public school,Not too important,Somewhat important,Not too important,Often,Not very often,Often,Full-time,40,5,1,,Never,Some of the time,Not comfortable at all,Always,Very comfortable,Somewhat comfortable,No,A moderate amount,No,Disagree,Some of the time,Agree,Govt should provide fewer services,2,2,2,Occasionally,Yes,Four to six,Four to six,One to three,Not too comfortable,Not too comfortable,Rarely,Rarely,Rarely,Conservative
22,18-29,Single,Male,Asian,4-year,Post-grad,Post-grad,Slightly Liberal,"clarke, ga",37.5,10.56,25.34,120905,78234,51437,26061,32162,0.5397,19.28485332,Athens,"effingham, ga",-55.5,22.2,50.14,54630,45214,24436,5922,63100,0.3754,30.65456703,Guyton,5,Slightly Conservative,Conservative,Middle class,No,Yes,No,Mainly a choice,A little strongly,A little strongly,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Five to ten,Once or twice a month,Not at all,Rarely,A moderate amount,A moderate amount,A little,5,2,Not very often,Public school,Not too important,Very important,Not too important,Not very often,Not very often,Often,Part-time,18,2,0,10,Never,Always,Very comfortable,About half the time,Not too comfortable,Not too comfortable,No,A great deal,No,Disagree,About half the time,Strongly disagree,Govt should provide more services,4,2,1,Occasionally,Yes,More than six,Four to six,More than three hours,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
20,18-29,Single,Male,Asian,Some college,Post-grad,Post-grad,Slightly Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,2,Liberal,Slightly Liberal,Affluent,No,No,No,Mainly a choice,Not at all,Moderately strongly,No,No,No,No,Yes,No,No,Yes,Yes,More than ten,A few times a year,Not at all,Not very often,A moderate amount,A moderate amount,A little,4,2,Not very often,Public school,Somewhat important,Very important,Somewhat important,Not very often,Not very often,Not very often,Part-time,19,1,0,12,Never,About half the time,Somewhat comfortable,Some of the time,Not too comfortable,Not too comfortable,No,A moderate amount,No,Disagree,Some of the time,Disagree,Govt provides the right amount of services,5,2,0,Occasionally,Yes,Four to six,Four to six,Less than 1 hour,Not too comfortable,Not too comfortable,Rarely,Rarely,Rarely,Liberal
19,18-29,Single,Male,White,Some college,Some college,High school graduate,Moderate,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Mebane,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Hillsborough,4,Liberal,Liberal,Middle class,No,No,No,Mainly a choice,Not at all,Moderately strongly,No,No,No,No,No,No,No,Yes,Yes,More than ten,A few times a year,Not at all,,A moderate amount,A great deal,A moderate amount,5,4,Not very often,Public school,Somewhat important,Very important,Very important,Not very often,,Rarely,Student,,,,22,Never,Most of the time,Not comfortable at all,Some of the time,Very comfortable,Very comfortable,No,A great deal,Yes,Strongly disagree,Some of the time,Disagree,Govt should provide more services,5,0,0,Occasionally,Yes,Two to four,Four to six,Less than 1 hour,Somewhat comfortable,Somewhat comfortable,,,,Moderate
61,60 and above,Married,Male,White,4-year,Post-grad,4-year,Liberal,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"montgomery, md",55.3,11.48,41.18,1017859,566202,503023,404242,99435,0.456,34.52186083,Silver Spring,17,Moderate,Moderate,Affluent,Yes,Yes,Yes,Mainly a duty,Very strongly,A little strongly,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One to Four,Never,Not at all,Not very often,A great deal,A great deal,A moderate amount,3,3,Often,Public school,Very important,Somewhat important,Somewhat important,Not very often,Not very often,Often,Full-time,40,3,3,,Once or twice a month,Most of the time,Very comfortable,Always,Somewhat comfortable,,,Don't know,,Disagree,About half the time,Strongly disagree,Govt should provide many more services,5,3,3,Almost never,Yes,Zero to two,Two to four,One to three,Somewhat comfortable,Somewhat comfortable,Not very often,Not very often,Rarely,Liberal
18,18-29,Single,Male,White,High school graduate,Post-grad,4-year,Slightly Liberal,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,18,Moderate,Slightly Liberal,Middle class,No,No,No,Mainly a choice,Not at all,A little strongly,No,No,No,No,No,No,No,Yes,No,One to Four,A few times a year,A little involved,Rarely,A little,A little,A little,3,3,Not very often,Public school,Very important,Somewhat important,Not too important,Often,Rarely,Rarely,Student,0,,,25,Never,Most of the time,Somewhat comfortable,About half the time,Not too comfortable,Not comfortable at all,No,A moderate amount,Yes,Strongly disagree,Some of the time,Agree,Govt should provide more services,3,1,1,Almost never,Yes,Two to four,Two to four,One to three,Somewhat comfortable,Not too comfortable,Very often,Rarely,Often,Liberal
60,60 and above,Married,Female,White,4-year,High school graduate,High school graduate,Liberal,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"union, nj",35.4,13.38,27.82,548744,317541,251684,120422,69594,0.4905,30.71444748,Clark,18,Moderate,Moderate,Middle class,Yes,Yes,,Mainly a duty,Very strongly,A little strongly,No,Yes,No,Yes,Yes,No,No,Yes,No,One to Four,Never,Not at all,Rarely,A great deal,A great deal,A moderate amount,4,2,Often,Public school,Very important,Not at all important,Not at all important,Rarely,Rarely,Not very often,Full-time,30,2,1,,Once or twice a month,Most of the time,Very comfortable,Most of the time,Not too comfortable,Not too comfortable,No,A little,Yes,Disagree,Some of the time,Disagree,Govt should provide more services,5,5,4,Occasionally,Yes,Zero to two,Zero to two,One to three,Not comfortable at all,Not comfortable at all,Not very often,Rarely,Rarely,Liberal
46,45-59,Married,Female,White,4-year,Post-grad,Post-grad,Liberal,"durham, nc",59.6,15.1,45.78,288817,148213,135191,88719,52503,0.4774,22.04654896,"Durham, NC","vernon, wi",-4.5,10.68,11.18,30279,29459,12300,4166,47675,0.4323,24.21544715,"Westby , WI",14,Liberal,Liberal,Middle class,Yes,Yes,Yes,Mainly a duty,Very strongly,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,More than ten,Every week,Not at all,Rarely,A great deal,A great deal,A little,2,0,Very often,Public school,Very important,Not at all important,Not at all important,Rarely,Rarely,Not very often,Homemaker,,,,,A few times a year,Most of the time,Very comfortable,Most of the time,Very comfortable,Very comfortable,No,A moderate amount,No,Disagree,Some of the time,Disagree,Govt should provide more services,5,4,3,Almost never,Yes,Zero to two,Zero to two,Less than 1 hour,Not too comfortable,Not too comfortable,Not very often,Rarely,Often,Liberal
35,30-44,Married,Male,White,4-year,2-year,2-year,Liberal,"durham, nc",59.6,15.1,45.78,288817,148213,135191,88719,52503,0.4774,22.04654896,"Durham, NC","bucks, pa",0.8,15.24,3.54,626583,557637,300321,165001,77568,0.4402,28.97849301,Lower Makefield Township,4,Slightly Liberal,Liberal,Middle class,No,Yes,No,Mainly a choice,Not at all,Moderately strongly,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Five to ten,Once or twice a month,Not at all,Rarely,A little,A moderate amount,A moderate amount,5,0,Rarely,Public school,Somewhat important,Somewhat important,Not too important,Often,Often,Rarely,Full-time,60,17,9,,A few times a year,Most of the time,Very comfortable,Always,Very comfortable,Very comfortable,Yes,A little,No,Strongly agree,Some of the time,Strongly agree,Govt should provide many more services,5,5,4,Occasionally,No,Zero to two,Zero to two,One to three,Very comfortable,Very comfortable,Rarely,Rarely,Rarely,Liberal
46,45-59,Married,Male,White,Post-grad,Post-grad,4-year,Slightly Liberal,"durham, nc",59.6,15.1,45.78,288817,148213,135191,88719,52503,0.4774,22.04654896,"Durham, NC","wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,"Raleigh, NC",14,Liberal,Extremely Liberal,Middle class,Yes,Yes,Yes,Neither,Moderately strongly,Moderately strongly,Yes,Yes,No,Yes,Yes,No,No,Yes,No,One to Four,Never,Not at all,Not very often,A great deal,A great deal,A moderate amount,2,1,Often,Public school,Very important,Not at all important,Not at all important,Rarely,Rarely,Not very often,Full-time,50,,,,Once or twice a month,About half the time,Somewhat comfortable,Most of the time,Very comfortable,Somewhat comfortable,No,A moderate amount,Yes,Disagree,About half the time,Disagree,Govt should provide more services,5,3,2,Occasionally,No,Zero to two,Zero to two,Less than 1 hour,Somewhat comfortable,Somewhat comfortable,Rarely,Rarely,Not very often,Liberal
21,18-29,Single,Female,White,4-year,Post-grad,Post-grad,Moderate,"chatham, nc",10,9.78,5.12,67431,53264,26572,18155,56642,0.4775,28.3349014,Chapel Hill,"palm beach, fl",15.3,18.28,20.7,1378806,1033939,571446,334411,53363,0.5152,24.98902783,"Delray Beach, FL",4,Moderate,Liberal,Very affluent,Yes,Yes,No,Mainly a choice,Moderately strongly,Very strongly,No,Yes,No,No,No,No,No,Yes,Yes,One to Four,Never,Not at all,Rarely,A moderate amount,A great deal,A little,2,1,Not very often,Private non-religious (secular) school,Somewhat important,Not too important,Not at all important,Often,Rarely,Rarely,Student,9,1,0,6,Never,Most of the time,Not too comfortable,Never,Not too comfortable,Not comfortable at all,No,A little,Don't know,Disagree,Never,Disagree,Govt provides the right amount of services,4,1,1,Occasionally,Yes,Two to four,Zero to two,,Not comfortable at all,Not comfortable at all,Rarely,Rarely,,Moderate
23,18-29,Single,Male,Hispanic,4-year,Post-grad,2-year,Liberal,"montgomery, va",,,,,,,,,,,Blacksburg ,"burke, nc",-38.5,12.66,25.16,89548,75947,34837,10794,39360,0.4408,21.67795734,Morganton ,15,Conservative,Slightly Conservative,Middle class,Yes,Yes,Yes,Mainly a choice,A little strongly,Very strongly,No,Yes,No,Yes,No,Yes,No,Yes,No,One to Four,Once or twice a month,Not at all,Rarely,A great deal,A moderate amount,A moderate amount,6,5,Not very often,Public school,Not too important,Not at all important,Not at all important,Rarely,Not very often,Rarely,Unemployed,,,,,Never,Some of the time,Not too comfortable,Always,Somewhat comfortable,Very comfortable,No,A great deal,Yes,Strongly disagree,Some of the time,Agree,Govt should provide more services,5,5,4,Occasionally,Yes,Zero to two,Zero to two,One to three,Not too comfortable,Somewhat comfortable,Rarely,Rarely,Rarely,Liberal
55,45-59,Married,Female,White,4-year,Post-grad,4-year,Slightly Liberal,"burke, nc",-38.5,12.66,25.16,89548,75947,34837,10794,39360,0.4408,21.67795734,Morganton,"san bernardino, ca",10.7,16.52,7.52,,,,,,,,"Redlands, CA",20,Conservative,Slightly Conservative,Middle class,Yes,Yes,Yes,,Very strongly,Very strongly,No,No,No,No,,No,No,Yes,Yes,More than ten,Once or twice a month,A little involved,Not very often,A great deal,A great deal,A moderate amount,4,1,Often,,Somewhat important,Somewhat important,Somewhat important,Often,Rarely,Not very often,Homemaker,,,,,Almost every week,Most of the time,Somewhat comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A great deal,,Agree,About half the time,Disagree,Govt should provide more services,5,5,3,Occasionally,No,Zero to two,Zero to two,One to three,,,,,,Liberal
56,45-59,Married,Male,Hispanic,Post-grad,No HS,No HS,Liberal,"burke, nc",-38.5,12.66,25.16,89548,75947,34837,10794,39360,0.4408,21.67795734,Morganton,"san bernardino, ca",10.7,16.52,7.52,,,,,,,,"Redlands, CA",20,Conservative,,,,,,,,,,,,,,,,,,More than ten,A few times a year,Moderately involved,Rarely,A great deal,A great deal,A moderate amount,4,3,Often,Public school,Somewhat important,Very important,Somewhat important,Not very often,Not very often,Rarely,Full-time,45,,5,,Almost every week,Most of the time,Not too comfortable,Always,Very comfortable,Somewhat comfortable,No,A moderate amount,Yes,Disagree,Some of the time,Disagree,Govt provides the right amount of services,3,3,2,Most of the time,Yes,Zero to two,Zero to two,One to three,Not too comfortable,Not too comfortable,Not very often,Rarely,Rarely,Liberal
19,18-29,Single,Male,Hispanic,Some college,High school graduate,High school graduate,Liberal,"duplin, nc",-18.9,8.22,13.12,59453,36779,23738,4223,35035,0.4427,25.34375263,Albertson,"duplin, nc",-18.9,8.22,13.12,59453,36779,23738,4223,35035,0.4427,25.34375263,Kenansville,19,Conservative,Moderate,Middle class,Yes,Yes,Yes,Mainly a choice,Moderately strongly,Moderately strongly,Yes,No,No,No,No,No,No,Yes,No,More than ten,Once or twice a month,Not at all,Rarely,A moderate amount,A great deal,A moderate amount,2,2,Rarely,Public school,Not at all important,Very important,Somewhat important,Very often,Rarely,Very often,Student,,,,5,Almost every week,Always,Very comfortable,Never,Very comfortable,Very comfortable,No,A little,No,Strongly agree,Never,Strongly agree,Govt provides the right amount of services,4,3,2,Occasionally,Yes,Two to four,Zero to two,One to three,Very comfortable,Very comfortable,Rarely,Rarely,Rarely,Liberal
33,30-44,Single,Male,White,4-year,4-year,4-year,Slightly Liberal,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,"washington, tn",-42.9,24.26,33.68,125317,115466,53911,26073,42817,0.4943,20.61953961,Johnson City,2,Liberal,Liberal,Very affluent,Yes,Yes,No,Mainly a choice,Moderately strongly,Very strongly,No,Yes,No,No,No,Yes,No,Yes,No,One to Four,,Not at all,Rarely,A moderate amount,A great deal,A little,3,3,Not very often,Public school,Not too important,Not at all important,Not at all important,Not very often,Often,Not very often,Full-time,40,10,5,,Once or twice a month,Most of the time,Not too comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A little,Yes,Disagree,Some of the time,Agree,Govt should provide more services,3,3,3,Occasionally,Yes,Zero to two,Four to six,Less than 1 hour,Not too comfortable,Not comfortable at all,Rarely,Rarely,Rarely,Liberal
30,30-44,Single,Female,White,Post-grad,4-year,4-year,Slightly Conservative,"charleston, sc",7.8,15.02,6.22,372904,250522,171840,104316,53437,0.4972,22.93298999,Charleston,"washington, tn",-42.9,24.26,33.68,125317,115466,53911,26073,42817,0.4943,20.61953961,Johnson City,8,Moderate,Slightly Liberal,Affluent,Yes,Yes,No,Neither,Moderately strongly,Moderately strongly,No,No,No,No,No,No,No,Yes,No,One to Four,A few times a year,Not at all,Rarely,A little,A moderate amount,None at all,2,2,Rarely,Public school,Not at all important,Not at all important,Not at all important,Rarely,Rarely,Rarely,Full-time,45,4,0,,Almost every week,Some of the time,Not too comfortable,Most of the time,Not too comfortable,Not too comfortable,No,A moderate amount,Yes,Disagree,Some of the time,Disagree,Govt provides the right amount of services,3,2,2,Almost never,Yes,Zero to two,Two to four,One to three,Not comfortable at all,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
61,60 and above,Married,Male,White,Post-grad,4-year,Post-grad,Liberal,"buncombe, nc",14.2,9.16,10,247336,219420,106597,63747,45167,0.4641,20.25957579,Asheville,"miami-dade, fl",29.4,12.56,16.36,2639042,1999090,1133115,495023,43129,0.5261,29.94860628,Coral Gables,30,Extremely Liberal,Extremely Liberal,Middle class,No,Yes,Yes,Mainly a duty,Very strongly,A little strongly,No,Yes,No,No,No,Yes,No,Yes,Yes,One to Four,A few times a year,A little involved,Rarely,A great deal,A great deal,A moderate amount,4,3,Very often,Public school,Somewhat important,Somewhat important,Not too important,Often,Rarely,Not very often,Full-time,30,30,10,,Almost every week,Most of the time,Somewhat comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A little,Yes,Disagree,Some of the time,Disagree,Govt should provide fewer services,5,5,4,Most of the time,No,Zero to two,Zero to two,Less than 1 hour,,,,,,Liberal
19,18-29,Single,Female,White,Some college,4-year,Post-grad,Slightly Conservative,"buncombe, nc",14.2,9.16,10,247336,219420,106597,63747,45167,0.4641,20.25957579,Asheville,"buncombe, nc",14.2,9.16,10,247336,219420,106597,63747,45167,0.4641,20.25957579,Asheville,19,Moderate,Extremely Liberal,Middle class,No,Yes,Yes,Mainly a duty,A little strongly,A little strongly,No,No,No,No,No,No,No,Yes,Yes,More than ten,A few times a year,A little involved,Rarely,A great deal,A great deal,A little,4,3,Not very often,Home school,Somewhat important,Not at all important,Not too important,Often,Rarely,Not very often,Student,0,,,35,Almost every week,Most of the time,Not comfortable at all,Most of the time,Not too comfortable,Not too comfortable,No,A moderate amount,No,Disagree,About half the time,Disagree,Govt should provide more services,1,1,1,Occasionally,Yes,Zero to two,Zero to two,Less than 1 hour,Not too comfortable,Not comfortable at all,Rarely,Rarely,Rarely,Conservative
23,18-29,Single,Female,White,4-year,Post-grad,Post-grad,Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Carrboro,"durham, nc",59.6,15.1,45.78,288817,148213,135191,88719,52503,0.4774,22.04654896,Durham,5,Liberal,Liberal,Middle class,Yes,Yes,Yes,Mainly a duty,Very strongly,A little strongly,Yes,Yes,No,No,Yes,No,No,No,No,Zero,A few times a year,Not at all,Rarely,A great deal,A moderate amount,A moderate amount,2,2,Very often,Private religious school,Somewhat important,Very important,Very important,Not very often,Rarely,Often,Full-time,30,1,1,,Never,Most of the time,Not comfortable at all,About half the time,Somewhat comfortable,Not too comfortable,No,A moderate amount,No,Disagree,Never,Disagree,Govt should provide more services,5,5,5,Most of the time,Yes,Two to four,Four to six,One to three,Somewhat comfortable,Not too comfortable,Not very often,Rarely,Rarely,Liberal
68,60 and above,Married,Male,White,Post-grad,4-year,High school graduate,Extremely Liberal,"alamance, nc",-12.7,21.52,16.82,155258,109891,67580,22391,41814,0.4608,23.66439775,Snow Camp,"crawford, pa",-37.1,12.16,19.92,87343,83669,35277,11846,44579,0.4248,21.72959719,Meadville,36,Extremely Conservative,Extremely Conservative,Poor,Yes,Yes,Yes,Mainly a duty,Very strongly,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Five to ten,,Moderately involved,Not very often,A great deal,A great deal,A great deal,4,4,Very often,Public school,Very important,Not too important,Not too important,Not very often,Rarely,Rarely,Full-time,50,5,5,,Never,Most of the time,Very comfortable,Always,Very comfortable,Very comfortable,No,A little,Yes,Strongly agree,About half the time,Disagree,Govt should provide many more services,5,5,5,Almost all the time,No,Zero to two,Four to six,Less than 1 hour,,,,,,Liberal
19,18-29,Single,Female,Black,Some college,2-year,Don't Know,Slightly Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"alamance, nc",-12.7,21.52,16.82,155258,109891,67580,22391,41814,0.4608,23.66439775,Graham,18,Conservative,Conservative,Middle class,Yes,Yes,No,Mainly a choice,Not at all,Very strongly,No,Yes,No,No,No,Yes,No,Yes,No,Five to ten,A few times a year,Not at all,Rarely,A moderate amount,A moderate amount,A moderate amount,2,1,Very often,Public school,Somewhat important,Somewhat important,Not at all important,Very often,Not very often,Not very often,Student,20,5,3,14,Never,Most of the time,Somewhat comfortable,Always,Somewhat comfortable,Somewhat comfortable,No,A little,Yes,Agree,Never,Strongly disagree,Govt should provide more services,5,5,4,Almost all the time,Yes,Zero to two,Zero to two,Less than 1 hour,Very comfortable,Very comfortable,Very often,Rarely,Very often,Liberal
19,18-29,Single,Female,White,Some college,2-year,4-year,Slightly Conservative,"mecklenburg, nc",29.4,9.92,16.54,990288,561253,461664,275628,56854,0.4939,25.2675214,Charlotte,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Hillsborough,18,Liberal,Moderate,Middle class,No,No,No,Mainly a choice,Moderately strongly,A little strongly,Yes,Yes,No,No,No,No,No,No,Yes,One to Four,Never,Not at all,Rarely,A moderate amount,A great deal,A moderate amount,2,2,Often,Public school,Somewhat important,Not too important,Not too important,Not very often,Rarely,Not very often,Student,15,2,0,25,Almost every week,Most of the time,Very comfortable,About half the time,Not too comfortable,Not too comfortable,No,A moderate amount,Yes,Disagree,About half the time,Disagree,Govt should provide fewer services,3,3,2,Occasionally,Yes,Two to four,Zero to two,Less than 1 hour,Not comfortable at all,Not too comfortable,Rarely,Rarely,Not very often,Conservative
67,60 and above,Single,Female,White,Post-grad,2-year,High school graduate,Slightly Conservative,"allegheny, pa",16.4,15.08,15.54,1231145,994913,574697,331275,53040,0.4855,26.37654277,Pittsburgh,"crawford, pa",-37.1,12.16,19.92,87343,83669,35277,11846,44579,0.4248,21.72959719,Meadville,40,Liberal,Extremely Liberal,Middle class,Yes,Yes,Yes,Mainly a duty,Moderately strongly,Moderately strongly,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Five to ten,,A little involved,Rarely,A great deal,A moderate amount,A moderate amount,6,1,Rarely,Public school,Very important,Somewhat important,Not too important,Rarely,Rarely,Rarely,Retired,,,,,A few times a year,Some of the time,Very comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A great deal,Yes,Disagree,Some of the time,Disagree,Govt should provide fewer services,5,5,2,Occasionally,No,Zero to two,Zero to two,One to three,Not comfortable at all,Not comfortable at all,Not very often,Not very often,Rarely,Conservative
24,18-29,Single,Male,Asian,2-year,4-year,4-year,Liberal,"bergen, nj",13.2,16.32,10.44,926330,652390,429288,305225,85806,0.4832,31.86282868,"Saddlebrook, NJ","bergen, nj",13.2,16.32,10.44,926330,652390,429288,305225,85806,0.4832,31.86282868,"Saddlebrook, NJ",23,Moderate,Conservative,Poor,Yes,No,No,Mainly a choice,Not at all,A little strongly,No,No,No,No,No,No,No,No,Yes,Zero,A few times a year,Not at all,Rarely,None at all,A little,A little,4,0,Rarely,Public school,Very important,Not too important,Not at all important,Rarely,Rarely,Rarely,Part-time,16,5,0,4,Almost every week,Some of the time,Not comfortable at all,Some of the time,Very comfortable,Very comfortable,No,A little,Yes,Disagree,About half the time,Agree,Govt provides the right amount of services,5,2,2,Almost never,Yes,Two to four,Two to four,One to three,Somewhat comfortable,Somewhat comfortable,Rarely,Rarely,Rarely,Liberal
